,Coefficient,Std Error,p-value,% Effect
op_private,1.6642,0.0186,0.0,428.149
ip_private,2.7263,0.0266,0.0,1427.5616
is_insured,0.1887,0.0248,0.0,20.7717
age,-0.0044,0.0008,0.0,-0.4342
is_urban,-0.1282,0.0254,0.0,-12.0281
is_male,0.1573,0.0206,0.0,17.04
household_size,0.0071,0.0055,0.1939,0.7138
log_consumption,0.2158,0.024,0.0,24.0826
poor_health,0.6198,0.0208,0.0,85.8549
district_uhc_index,-0.0148,0.0015,0.0,-1.4739
