feature,coef,abs_coef
state_region_A,1.2257015089435868,1.2257015089435868
state_region_C,-0.9716956698811889,0.9716956698811889
religion_Sikh,-0.9404103514756901,0.9404103514756901
had_ip_visit,0.8802060908254162,0.8802060908254162
op_private,0.7347810503303887,0.7347810503303887
ip_private,0.6506284183819949,0.6506284183819949
district_uhc_tercile_Low-UHC,0.5941454884887748,0.5941454884887748
district_uhc_index,0.5258274022371429,0.5258274022371429
religion_infrequent_sklearn,0.4414358891526377,0.4414358891526377
total_hh_spend,-0.415596342882752,0.415596342882752
education_Primary,-0.32898417384647355,0.32898417384647355
is_urban,-0.31118717353573594,0.31118717353573594
state_region_D,0.26463038412055684,0.26463038412055684
poor_health,0.2568740752225648,0.2568740752225648
religion_Hindu,-0.22006670911804888,0.22006670911804888
had_op_visit,0.2071513550684177,0.2071513550684177
religion_Muslim,0.20536198783493131,0.20536198783493131
physical_health_rating_Average,-0.16030912095909597,0.16030912095909597
ins_coverage_limit,0.15409018962309162,0.15409018962309162
occupation_Self-Employed,0.15220558822746016,0.15220558822746016
household_size,-0.13301135606778752,0.13301135606778752
caste_SCs,-0.10512386678937881,0.10512386678937881
education_Middle,0.09919156243778691,0.09919156243778691
mental_health_rating_Very Good,0.08848040171200378,0.08848040171200378
marital_status_NeverMarried,-0.07353878249691743,0.07353878249691743
caste_STs,0.07106392355108229,0.07106392355108229
state_region_B,-0.07021300586468118,0.07021300586468118
occupation_Cultivator,-0.06078238833805322,0.06078238833805322
mental_health_rating_Average,-0.058934063493867005,0.058934063493867005
occupation_Others,-0.04558025170841078,0.04558025170841078
marital_status_infrequent_sklearn,0.02108571547990766,0.02108571547990766
caste_OBCs,-0.008606425056633558,0.008606425056633558
is_male,0.008233556670250419,0.008233556670250419
ins_premium_annual,0.005284017443057952,0.005284017443057952
physical_health_rating_Poor,0.004172574884638047,0.004172574884638047
occupation_Wage-Labourer,0.00022184509899518488,0.00022184509899518488
